Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	Attributes (Reference only, do not change these values)
Koœciany smok	Koœciane smoki	0	0	0	0	0	0	1800	2420	3388	1	0	150	9	17	15	25	50	0	0	4	10	Nieumar³y. -1 do morale przeciwnika.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
Upiorny smok	Upiorne smoki	0	1	0	0	0	0	3000	3228	4696	1	0	200	14	19	17	25	50	0	0	3	8	Nieumar³y. -1 do morale przeciwnika. Postarza ofiarê.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1



Troglodyta	Troglodyci	0	0	0	0	0	0	50	73	59	14	7	5	4	4	3	1	3	0	0	20	50	Odpornoœæ na oœlepienie.	0
Piekielny troglodyta	Piekielni troglodyci	0	0	0	0	0	0	65	84	84	14	7	6	5	5	4	1	3	0	0	20	30	Odpornoœæ na oœlepienie.	0
Harpia	Harpie	0	0	0	0	0	0	130	140	154	8	0	14	6	6	5	1	4	0	0	16	30	Atakuje i wraca na miejsce.	FLYING_ARMY
Harpia wiedŸma	Harpie wiedŸmy	0	0	0	0	0	0	170	196	238	8	0	14	9	6	6	1	4	0	0	16	25	Atakuje i wraca na miejsce. Powstrzymuje kontratak.	FLYING_ARMY
Z³e oko	Z³e oczy	0	0	0	0	0	0	250	240	336	7	0	22	5	9	7	3	5	12	0	12	25	Brak ograniczeñ w walce wrêcz.	SHOOTING_ARMY | const_no_melee_penalty
Obserwator	Obserwatorzy	0	0	0	0	0	0	280	245	367	7	0	22	7	10	8	3	5	24	0	12	20	Brak ograniczeñ w walce wrêcz.	SHOOTING_ARMY | const_no_melee_penalty
Meduza	Meduzy	0	0	0	0	0	0	300	379	517	4	0	25	5	9	9	6	8	4	0	10	20	Brak ograniczeñ w walce wrêcz. Zamienia w kamieñ.	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
Meduza królewska	Meduzy królewskie	0	0	0	0	0	0	330	423	577	4	0	30	6	10	10	6	8	8	0	10	16	Brak ograniczeñ w walce wrêcz. Zamienia w kamieñ.	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
Minotaur	Minotaury	0	0	0	0	0	0	500	835	835	3	0	50	6	14	12	12	20	0	0	8	16	Wysokie morale.	0
Wielki minotaur	Wielkie minotaury	0	0	0	0	0	0	575	890	1068	3	0	50	8	15	15	12	20	0	0	8	12	Wysokie morale.	0
Mantikora	Mantikory	0	0	0	0	0	0	850	1215	1547	2	0	80	7	15	13	14	20	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
Chimera	Chimery	0	0	0	0	0	0	1050	1248	1589	2	0	80	11	16	14	14	20	0	0	5	10	Parali¿uj¹cy jad.	DOUBLE_WIDE | FLYING_ARMY
Czerwony smok	Czerwone smoki	0	0	0	1	0	0	2500	3762	4702	1	0	180	11	19	19	40	50	0	0	4	10	Odpornoœæ na zaklêcia poziomu 1-3.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Czarny smok	Czarne smoki	0	0	0	2	0	0	4000	6783	8721	1	0	300	15	25	25	40	50	0	0	3	8	Odpornoœæ na wszystkie zaklêcia.	DOUBLE_WIDE | FLYING_ARMY | KING_1



Goblin	Gobliny	0	0	0	0	0	0	40	60	60	15	8	5	5	4	2	1	2	0	0	20	50		0
Hobgoblin	Hobgobliny	0	0	0	0	0	0	50	65	78	15	8	5	7	5	3	1	2	0	0	20	30		0
Wilczy jeŸdziec	Wilczy jeŸdŸcy	0	0	0	0	0	0	100	130	130	9	0	10	6	7	5	2	4	0	0	16	30		DOUBLE_WIDE
Wilczy rycerz	Wilczy rycerze	0	0	0	0	0	0	140	174	203	9	0	10	8	8	5	3	4	0	0	16	25	Atakuje dwukrotnie.	DOUBLE_WIDE
Ork	Orkowie	0	0	0	0	0	0	150	175	192	7	0	15	4	8	4	2	5	12	0	12	25		SHOOTING_ARMY
Uruk	Urukowie	0	0	0	0	0	0	165	200	240	7	0	20	5	8	4	2	5	24	0	12	20		SHOOTING_ARMY
Ogr	Ogry	0	0	0	0	0	0	300	520	416	4	0	40	4	13	7	6	12	0	0	10	20		0
Ogr szaman	Ogry szamani	0	0	0	0	0	0	400	672	672	4	0	60	5	13	7	6	12	3	3	10	16	Rzuca zaklêcie: ¿¹dza krwi.	0
Rok	Roki	0	0	0	0	0	0	600	790	1027	3	0	60	7	13	11	11	15	0	0	8	16		FLYING_ARMY | DOUBLE_WIDE
Ptak gromu	Ptaki gromu	0	0	0	0	0	0	700	869	1106	3	0	60	11	13	11	11	15	0	0	8	12	Uderzenie b³yskawicy.	FLYING_ARMY | DOUBLE_WIDE
Cyklop	Cyklopi	0	0	0	0	0	0	750	1055	1266	2	0	70	6	15	12	16	20	16	0	5	12	Mo¿e niszczyæ mury.	SHOOTING_ARMY | CATAPULT
Cyklop królewski	Cyklopy królewskie	0	0	0	0	0	0	1100	1110	1443	2	0	70	8	17	13	16	20	24	0	5	10	Mo¿e niszczyæ mury.	SHOOTING_ARMY | CATAPULT
Behemot	Behemoty	0	0	0	0	0	0	1500	3162	3162	1	0	160	6	17	17	30	50	0	0	4	10	Obni¿a obronê atakowanego przeciwnika o 40%.	DOUBLE_WIDE | KING_1
Staro¿ytny behemot	Staro¿ytne behemoty	0	0	0	0	1	0	3000	5397	6168	1	0	300	9	19	19	30	50	0	0	3	8	Obni¿a obronê atakowanego przeciwnika o 80%.	DOUBLE_WIDE | KING_1



Gnoll	Gnolle	0	0	0	0	0	0	50	70	56	12	6	6	4	3	5	2	3	0	0	20	50		0
Gnoll maruder	Gnolle maruderzy	0	0	0	0	0	0	70	90	90	12	6	6	5	4	6	2	3	0	0	20	30		0
Jaszczurocz³ek	Jaszczuroludzie	0	0	0	0	0	0	110	115	126	9	0	14	4	5	6	2	3	12	0	16	30		SHOOTING_ARMY
Reptilion	Reptilioni	0	0	0	0	0	0	140	130	156	9	0	15	5	6	8	2	5	24	0	16	25		SHOOTING_ARMY
Gorgona	Gorgony	0	0	0	0	0	0	525	890	890	3	0	70	5	10	14	12	16	0	0	12	25		DOUBLE_WIDE
Wielka gorgona	Wielkie gorgony	0	0	0	0	0	0	600	1028	1028	3	0	70	6	11	16	12	16	0	0	12	20	Zabija spojrzeniem.	DOUBLE_WIDE
Wa¿ka	Wa¿ki	0	0	0	0	0	0	220	205	256	8	0	20	9	7	9	2	5	0	0	10	20	Rozprasza zaklêcia ochronne.	FLYING_ARMY
Smocza wa¿ka	Smocze wa¿ki	0	0	0	0	0	0	240	205	256	8	0	20	13	8	10	2	5	0	0	10	16	Rozprasza zaklêcia ochronne. Os³abia przeciwników.	FLYING_ARMY
Bazyliszek	Bazyliszki	0	0	0	0	0	0	325	506	552	4	0	35	5	11	11	6	10	0	0	8	16	Zamienia w kamieñ.	DOUBLE_WIDE
Bazyliszek wiêkszy	Bazyliszki wiêksze	0	0	0	0	0	0	400	561	714	4	0	40	7	12	12	6	10	0	0	8	12	Zamienia w kamieñ.	DOUBLE_WIDE
Wiwerna	Wiwerny	0	0	0	0	0	0	800	1050	1350	2	0	70	7	14	14	14	18	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
Wiwerna królewska	Wiwerny królewskie	0	0	0	0	0	0	1100	1181	1518	2	0	70	11	14	14	18	22	0	0	5	10	Truj¹cy atak.	DOUBLE_WIDE | FLYING_ARMY
Hydra	Hydry	0	0	0	0	0	0	2200	4120	4120	1	0	175	5	16	18	25	45	0	0	4	10	Atakuje wszystkich przyleg³ych wrogów. Powstrzymuje kontratak.	DOUBLE_WIDE | KING_1
Hydra chaosu	Hydry chaosu	0	0	0	1	0	0	3500	5272	5931	1	0	250	7	18	20	25	45	0	0	3	8	Atakuje wszystkich przyleg³ych wrogów. Powstrzymuje kontratak.	DOUBLE_WIDE | KING_1



¯ywio³ak powietrza	¯ywio³aki powietrza	0	0	0	0	0	0	250	324	356	6	0	25	7	9	9	2	8	0	0	12	20	¯ywio³ak. Odpornoœæ na deszcz meteorów. Wra¿liwoœæ na b³yskawice.	0
¯ywio³ak ziemi	¯ywio³aki ziemi	0	0	0	0	0	0	400	415	330	4	0	40	4	10	10	4	8	0	0	10	16	¯ywio³ak. Odpornoœæ na b³yskawice. Wra¿liwoœæ na deszcz meteorów.	0
¯ywio³ak ognia	¯ywio³aki ognia	0	0	0	0	0	0	350	345	345	5	0	35	6	10	8	4	6	0	0	12	20	¯ywio³ak. Odpornoœæ na magiê ognia. Wra¿liwoœæ na lód.	0
¯ywio³ak wody	¯ywio³aki wody	0	0	0	0	0	0	300	315	315	6	0	30	5	8	10	3	7	0	0	12	20	¯ywio³ak. Odpornoœæ na lód. Wra¿liwoœæ na ogieñ.	0
Z³oty golem	Z³ote golemy	0	0	0	0	0	0	500	600	600	3	0	50	5	11	12	8	10	0	0	10	16	Redukuje obra¿enia wynikaj¹ce z magii o 85%.	0
Diamentowy golem	Diamentowe golemy	0	0	0	0	0	0	750	775	775	2	0	60	5	13	12	10	14	0	0	8	12	Redukuje obra¿enia wynikaj¹ce z magii o 95%.	0



Nimfa	Nimfy	0	0	0	0	0	0	25	40	55	20	10	3	7	2	2	1	2	0	0	20	50		FLYING_ARMY
Rusa³ka	Rusa³ki	0	0	0	0	0	0	30	70	95	20	10	3	9	2	2	1	3	0	0	20	30	Powstrzymuje kontratak.	FLYING_ARMY | const_free_attack
¯ywio³ak umys³u	¯ywio³aki umys³u	0	0	0	0	0	0	750	1431	1669	2	0	75	7	15	13	10	20	0	0	8	16	¯ywio³ak. Atakuje wszystkich przyleg³ych wrogów. Powstrzymuje kontratak.	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
¯ywio³ak magii	¯ywio³aki magii	0	0	0	0	0	0	800	1724	2012	2	0	80	9	15	13	15	25	0	0	8	12	¯ywio³ak. Atakuje wszystkie s¹siednie cele. Powstrzymuje kontratak. Odpornoœæ na wszystkie zaklêcia.	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
NOT USED (1)	NOT USED (1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
¯ywio³ak lodu	¯ywio³aki lodu 	0	0	0	0	0	0	375	315	380	6	0	30	6	8	10	3	7	24	3	12	20	¯ywio³ak. Odpornoœæ na lód. Wra¿liwoœæ na ogieñ.	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (2) 	NOT USED (2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
¯ywio³ak magmy	¯ywio³aki magmy 	0	0	0	0	0	0	500	490	490	4	0	40	6	11	11	6	10	0	3	16	25	¯ywio³ak. Odpornoœæ na b³yskawice. Wra¿liwoœæ na deszcz meteorów.	IMMUNE_TO_MIND_SPELLS
NOT USED (3)	NOT USED (3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
¯ywio³ak burzy	¯ywio³aki burzy	0	0	0	0	0	0	275	324	486	6	0	25	8	9	9	2	8	24	3	6	12	¯ywio³ak. Odpornoœæ na deszcz meteorów. Wra¿liwoœæ na b³yskawice.	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (4)	NOT USED (4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
¯ywio³ak energii	¯ywio³aki energii	0	0	0	0	0	0	400	360	470	5	0	35	8	12	8	4	6	0	3	12	25	¯ywio³ak. Odpronoœæ na magiê ognia. Wra¿liwoœæ na lód.	IMMUNE_TO_MIND_SPELLS | IMMUNE_TO_FIRE_SPELLS | FLYING_ARMY
Ognisty ptak	Ogniste ptaki	0	0	0	0	0	0	1500	3248	4547	2	0	150	15	18	18	30	40	0	0	4	10	Zioniêcie. Odpornoœæ na magiê ognia.	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
Feniks	Feniksy	0	1	0	0	0	0	2000	4929	6721	2	0	200	21	21	18	30	40	0	1	4	10	Zioniêcie. Odpornoœæ na magiê ognia. Odradza siê.	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK



B³êkitny smok	B³êkitne smoki	0	20	0	0	0	0	30000	56315	78845	1	0	1000	19	50	50	70	80	0	0	1	3	Wzbudza strach.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Kryszta³owy smok	Kryszta³owe smoki	0	0	0	0	10	0	20000	30260	39338	1	0	800	16	40	40	60	75	0	0	1	3	Generuje kryszta³y.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Czarodziejski smok	Czarodziejskie smoki	0	0	0	0	0	8	10000	16317	19580	1	0	500	15	20	20	20	30	0	5	1	3	Rzuca czary ofensywne.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Rdzawy smok	Rdzawe smoki	0	0	0	14	0	0	15000	24030	26433	1	0	750	17	30	30	50	50	0	0	1	3	Pluje kwasem.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Czarodziej	Czarodzieje	0	0	0	0	0	0	750	805	1210	2	0	30	9	17	12	14	14	32	0	5	12	Brak ograniczeñ w walce wrêcz. Rzuca czary grupowe.	SHOOTING_ARMY | const_no_melee_penalty
Strzelec	Strzelcy	0	0	0	0	0	0	400	415	585	4	0	15	9	12	10	8	10	32	0	5	12	Brak ograniczeñ za odleg³oœæ lub os³onê.	SHOOTING_ARMY
Nizio³ek	Nizio³ki	0	0	0	0	0	0	40	60	75	15	0	4	5	4	2	1	3	24	0	20	50	Przynosi szczêœcie.	SHOOTING_ARMY
Ch³op	Ch³opi	0	0	0	0	0	0	10	15	15	25	0	1	3	1	1	1	1	0	0	20	50		
Knurzy jeŸdziec	Knurzy jeŸdŸcy	0	0	0	0	0	0	150	145	145	8	0	15	6	6	5	2	3	0	0	16	30		
Mumia	Mumie	0	0	0	0	0	0	300	270	270	7	0	30	5	7	7	3	5	0	0	12	25	Rzuca kl¹twy.	
Nomad	Nomadowie	0	0	0	0	0	0	200	285	345	7	0	30	7	9	8	2	6	0	0	12	25	Nie zwalnia na piasku.	
Rozbójnik	Rozbójnicy	0	0	0	0	0	0	100	135	135	8	0	10	6	8	3	2	4	0	0	16	30	Szpieguje.	
Troll	Trolle	0	0	0	0	0	0	500	1024	1024	3	0	40	7	14	7	10	15	0	0	8	12	Zdolnoœæ regeneracji.	



Katapulta	Katapulty	0	0	0	0	0	0	1	10	500	0	0	1000	0	10	10	0	0	24	0	0	0	Niszczy mury zamku.	DOUBLE_WIDE | SHOOTING_ARMY | CATAPULT | SIEGE_WEAPON
Balista	Balisty	0	0	0	0	0	0	2500	650	600	0	0	250	0	10	10	2	3	24	0	0	0		DOUBLE_WIDE | SHOOTING_ARMY | SIEGE_WEAPON
Namiot medyka	Namioty medyków	0	0	0	0	0	0	750	10	300	0	0	75	0	0	0	0	0	0	0	0	0	Leczy oddzia³y.	DOUBLE_WIDE | SIEGE_WEAPON
Wóz z amunicj¹	Wozy z amunicj¹	0	0	0	0	0	0	1000	5	400	0	0	100	0	0	5	0	0	0	0	0	0	Nieograniczona amunicja.	SIEGE_WEAPON
